experiment,var,type,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,128x1111,256x0000,256x0011,256x1100,256x11111
1,4,Consistent,0.8870738636363636,0.04403409090909091,0.03622159090909091,0.0007102272727272727,0.8838778409090909,0.05042613636363636,0.03409090909090909,0.0003551136363636364,0.8916903409090909,0.049360795454545456,0.03213778409090909,0.0015980113636363637
2,8,Consistent,0.88515625,0.0359375,0.0375,0.0015625,0.869921875,0.044140625,0.04140625,0.001953125,0.8908203125,0.03828125,0.0369140625,0.0013671875
3,12,Consistent,0.875,0.0421875,0.04765625,0.00234375,0.888671875,0.034765625,0.04140625,0.00234375,0.88125,0.040625,0.0427734375,0.001953125
4,4,Inconsistent,0.9515625,0.01796875,0.02109375,0.00078125,0.94921875,0.0203125,0.01875,0.00078125,0.941796875,0.0234375,0.0255859375,0.0009765625
5,8,Inconsistent,0.91328125,0.0203125,0.02734375,0.00078125,0.930859375,0.01640625,0.019140625,0.0,0.9330078125,0.0203125,0.015234375,0.0001953125
6,12,Inconsistent,0.91875,0.034375,0.01484375,0.0,0.921875,0.02578125,0.020703125,0.00234375,0.9171875,0.032421875,0.0193359375,0.0001953125
