experiment,var,type,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,128x1111,256x0000,256x0011,256x1100,256x11111
1,4,Consistent,0.93359375,0.0321875,0.0321875,0.00203125,0.93984375,0.030859375,0.028359375,0.0009375,0.9390234375,0.0303515625,0.029375,0.00125
2,8,Consistent,0.96796875,0.0146875,0.0171875,0.00015625,0.967421875,0.01421875,0.018046875,0.0003125,0.96640625,0.0169921875,0.0162890625,0.0003125
3,12,Consistent,0.965625,0.0171875,0.01703125,0.00015625,0.967890625,0.01609375,0.015703125,0.0003125,0.9678125,0.0166015625,0.015390625,0.0001953125
4,4,Inconsistent,0.98015625,0.0,0.01984375,0.0,0.982109375,0.0,0.017890625,0.0,0.9822265625,0.0,0.0177734375,0.0
5,8,Inconsistent,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,12,Inconsistent,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
